User,text,timestamp,time
502takara323bako831,<@UA6E6PYSK>さんがチャンネルに参加しました,1523504754.000098,2018-04-12 12:45:54.000098
B6EK7H622,,1510793707.000097,2017-11-16 09:55:07.000097
B6EK7H622,,1510793772.000223,2017-11-16 09:56:12.000223
B6EK7H622,,1510985304.000019,2017-11-18 15:08:24.000019
B6EK7H622,,1511065274.000002,2017-11-19 13:21:14.000002
B6EK7H622,,1511078506.000048,2017-11-19 17:01:46.000048
B6EK7H622,,1511147367.000083,2017-11-20 12:09:27.000083
B6EK7H622,,1511154366.00008,2017-11-20 14:06:06.000080
B6EK7H622,,1511178776.000284,2017-11-20 20:52:56.000284
B6EK7H622,,1511191691.000206,2017-11-21 00:28:11.000206
B6EK7H622,,1511423985.000002,2017-11-23 16:59:45.000002
B6EK7H622,,1511749319.000092,2017-11-27 11:21:59.000092
B6EK7H622,,1511757872.000155,2017-11-27 13:44:32.000155
B6EK7H622,,1511779764.000304,2017-11-27 19:49:24.000304
B6EK7H622,,1511847518.000051,2017-11-28 14:38:38.000051
B6EK7H622,,1512195375.000011,2017-12-02 15:16:15.000011
B6EK7H622,,1512217070.000096,2017-12-02 21:17:50.000096
B6EK7H622,,1512233309.000021,2017-12-03 01:48:29.000021
B6EK7H622,,1512351053.000126,2017-12-04 10:30:53.000126
B6EK7H622,,1512370191.000212,2017-12-04 15:49:51.000212
B6EK7H622,,1512376519.000063,2017-12-04 17:35:19.000063
B6EK7H622,,1512377283.000108,2017-12-04 17:48:03.000108
B6EK7H622,,1512388057.000197,2017-12-04 20:47:37.000197
B6EK7H622,,1512453813.000049,2017-12-05 15:03:33.000049
B6EK7H622,,1512460450.000243,2017-12-05 16:54:10.000243
B6EK7H622,,1512534607.000029,2017-12-06 13:30:07.000029
B6EK7H622,,1512646895.000293,2017-12-07 20:41:35.000293
B6EK7H622,,1512741180.000083,2017-12-08 22:53:00.000083
B6EK7H622,,1512741818.000126,2017-12-08 23:03:38.000126
B6EK7H622,,1512872715.000075,2017-12-10 11:25:15.000075
B6EK7H622,,1512923617.000024,2017-12-11 01:33:37.000024
B6EK7H622,,1512962139.000114,2017-12-11 12:15:39.000114
B6EK7H622,,1512969040.000056,2017-12-11 14:10:40.000056
B6EK7H622,,1512969225.000045,2017-12-11 14:13:45.000045
B6EK7H622,,1512969577.000047,2017-12-11 14:19:37.000047
B6EK7H622,,1512992879.000208,2017-12-11 20:47:59.000208
B6EK7H622,,1513007556.000853,2017-12-12 00:52:36.000853
B6EK7H622,,1513061606.000016,2017-12-12 15:53:26.000016
B6EK7H622,,1513064802.000089,2017-12-12 16:46:42.000089
B6EK7H622,,1513067008.000161,2017-12-12 17:23:28.000161
B6EK7H622,,1513067050.00003,2017-12-12 17:24:10.000030
B6EK7H622,,1513067112.000137,2017-12-12 17:25:12.000137
B6EK7H622,,1513067170.000075,2017-12-12 17:26:10.000075
B6EK7H622,,1513067174.00032,2017-12-12 17:26:14.000320
B6EK7H622,,1513067199.000004,2017-12-12 17:26:39.000004
B6EK7H622,,1513067275.000029,2017-12-12 17:27:55.000029
B6EK7H622,,1513067281.000015,2017-12-12 17:28:01.000015
B6EK7H622,,1513067337.000181,2017-12-12 17:28:57.000181
B6EK7H622,,1513067390.000177,2017-12-12 17:29:50.000177
B6EK7H622,,1513067418.000203,2017-12-12 17:30:18.000203
B6EK7H622,,1513067446.000243,2017-12-12 17:30:46.000243
B6EK7H622,,1513067466.000191,2017-12-12 17:31:06.000191
B6EK7H622,,1513067472.000252,2017-12-12 17:31:12.000252
B6EK7H622,,1513067498.000357,2017-12-12 17:31:38.000357
B6EK7H622,,1513067513.000295,2017-12-12 17:31:53.000295
B6EK7H622,,1513067624.00015,2017-12-12 17:33:44.000150
