0," ishikawa/.txt	-- ::. 
",1
1,リアルタイムなコミュニケーション行為であるチャットへの意味タグ付加と,1
2,電子ゼミナールへの適用,1
3,議論,1
5,種類の役割を利用し、オンライン議論の,1
6,分析,1
7,掲示板での議論から専門性やコミュニケーション能力を,1
8,推定,1
9,全国大会講演論文集）,1
10,係り受け構造と機械学習アルゴリズムによる分類・学習で議論理解を支援,1
11,以下の式や項目を用いてブレインストーミングの評価をおこなう．,1
12,a,1
13,・結論部＋（,1
15,a,1
19,・議論部＋,1
21,・テーマ部,1
22,提案方式,1
23,ブレインストーミングのディスカッションを対象として，個々のアイディア,1
24,に対する賛成・反対タグのプロセスに基づいた信頼度の判定により，有益な,1
25,アイディアを抽出する方式を提案する．,1
26,ブレインストーミングをテーマ部とディスカッション部と結論部に構造化し,1
27,ておき，アイディアの獲得する目的に応じて，着目しているパートに重点を,1
28,置いた類似性計量により，,1
29,ディスカッションをランキング化する．,1
32,要約,1
34,ディスカッション,1
35,で,1
36,着目しているパートに重点を置いた類似性計量に,1
37,よるランキング化と，賛成,1
38,・反対タグの量を利用,1
39,した信頼度,1
41,判定で，有益,1
42,なアイディアを抽出する方式を提案する．,1
43,ブレインストーミングを,1
44,タグに置き換える例,1
46,新しいシステムや既存の機能に対するアイディア,1
48,出て,1
49,きたアイディアに対する補足意見や考えなど,1
51,タグとして考えると「,1
52,開発,1
53,」「実装」「,1
54,アイディア,1
55,」「賛成」「反,1
56,対」が挙げられる．,1
57,」は人間的には近い,1
58,がモデル的には別の単語として認識,1
59,）を考慮,1
60,することで活用形で変化しない基幹部分の表現を共有可能,1
62,を用いて学習さ,1
63,れた公開モデルを利用した,1
64,ソフトウェア開発をテーマにした,1
66,名によるチャット上での,1
67,ブレインストーミングを,1
68,回実施する．参加者はシステムを利用,1
69,して賛成，反対タグをつけて記録してもらう．,1
71,挨拶を除く発言内容をテーマ部，ディスカッション部，結論部,1
72,に分類する．,1
74,回分の分類されたデータを利用し類似性計量によりランキング,1
75,化した時の結果を見る．賛成・反対タグの付加状況を見て考察す,1
77,チャット,1
78,で行われたディスカッションを対象として，テーマ,1
79,部・ディスカッション部・結論部の,1
82,分類すること,1
83,で,1
84,，有益,1
85,なアイディアを抽出することが出来るかを考察する,1
87,また，賛成,1
88,や反対タグの付加状況から，何が分かるかを考察,1
89,する,1
90,上にチャンネルを作成し，参加者にはそのチャンネル上で,1
91,ブレインストーミングをおこなってもらう,1
92,Slack,1
93,上でテーマを発表する．,1
94,参加者に,1
95,分間議論してもらい，賛成や反対の表明をタグを,1
96,通しておこなってもらう．,1
97,議論,1
98,内容を,1
99,つの,1
100,部に分類し，考察する．,1
101,分類された発言データを用いたテーマ部・議論部・結論部への自動分,1
102,類,1
