id,text,ktakano,unblee,kohei1110
0," ishikawa/.txt	-- ::. 
",0,0,0
1,情報統合の提案,0.11785113,0,0
2,目的：議論の手段に依存せず，議論の情報を集約可能な手段の検討と,0,0.118469776,0
3,アプローチ：利用者に議論がどこで行われたかを指定してもらった上で，議,0.123091491,0.069171446,0.111978502
4,論にタグを付けて記録,0.102062073,0.114707867,0.371390676
5,する,0,0,0
6,発言記録時に，その発言のトピック（カテゴリ）を抽出し，そのカテゴリに,0,0,0.09007547
7,関連する発言を推薦する．,0,0,0
8,過去の議論の情報を提供することで，現在での議論に活用してもらう．,0,0.190885429,0.103005241
9,実装,0,0,0
11,Slack,0,0,0
13,発言に対してタグを付けて記録するためのデータベー,0.072168784,0.081110711,0.262612866
14,スとシステムの作成,0,0,0
15,実験概要,0,0,0
17,実際の発言からシステムに記録された情報が，振り返りに有用,0.123091491,0,0
18,なのか確かめるための実験をおこなう．,0,0.102597835,0
21,とあるシステム,0,0,0
22,に新しい機能,0,0,0
23,を追加,0,0,0
24,するかどうかの議論（１,0,0.114707867,0
25,対１）」,0,0,0
27,録音したものと，この議論をチャット上で再現したも,0,0.076471911,0.185695338
28,のを用意し，実験参加者,0,0.102597835,0.16609096
30,従来手法で記録してもらう方と本手法,0,0.069171446,0.111978502
31,で記録してもらう,0,0.114707867,0.185695338
32,パターンに分けて比較する．,0,0,0
33,実験手順,0,0,0
35,録音,0,0,0.185695338
36,された,0.288675135,0,0
37,議論,0,0.229415734,0
39,聞きながらメモを取る人（グループ,0,0,0
40,A,0,0,0
42,と,0,0,0
43,チャット上に再現された発言を読んでいき，本システムに記,0.11785113,0,0
44,録,0,0,0
45,する人（グループ,0,0,0
46,B,0,0,0
48,分ける．,0,0,0
50,録音された議論を聴いてもらいながら，必要であればメモを,0.144337567,0.081110711,0.065653216
51,取ってもらう,0,0,0
52,（グループ,0,0,0
53,A,0,0,0
54,の人）,0,0,0
55,．チャット上に再現された,0.182574186,0,0
56,議論を見てもらいながら必要であればシステムに記録しても,0,0.086710997,0.140372481
57,らう（グループ,0,0,0
58,B,0,0,0
61,両方のグループとも用意された設問に回答してもらう．,0.136082763,0,0.123796892
63,回答データを比較し，どちらが議論から多くの情報を,0,0.076471911,0.123796892
64,取ってこれているかを考察する．,0.083333333,0,0
65,設問内容,0,0,0
68,今回の議論で追加するのはどんな機能か？,0,0.173421994,0
72,この機能を実装する事は最終的に決定したか？」,0.068041382,0,0.247593784
74,「新しい機能,0,0,0
75,を追加しようと発言したの,0,0,0.185695338
76,は誰,0,0,0
80,以上の様な設問を両グループにおこなうことで，,0,0.086710997,0
81,議論で決まった事を後からでも確認出来る様な状態かを考察する．,0,0.066226618,0
82,提案方式によってその決まるまでに至ったプロセスを示す事が出来る,0.204124145,0.076471911,0
,,,,
,,1.76328461,2.031140863,2.661126834
