receive
((1, 2, 5.0),
(1, 3, 6.0),
(1, 4, 12.0),
(1, 5, 8.0),
(1, 6, 6.0),
(1, 7, 3.0),
(2, 4, 2.0),
(2, 5, 2.0),
(2, 6, 3.0),
(2, 7, 4.0),
(3, 4, 4.0),
(3, 5, 4.0),
(3, 6, 5.0),
(3, 7, 5.0),
(4, 5, 2.0),
(5, 7, 1.0),)

send
((1, 2, 4.0),
(1, 3, 7.0),
(1, 4, 12.0),
(1, 5, 9.0),
(1, 6, 6.0),
(1, 7, 3.0),
(2, 4, 3.0),
(2, 5, 3.0),
(2, 6, 4.0),
(2, 7, 5.0),
(3, 4, 3.0),
(3, 5, 5.0),
(3, 6, 6.0),
(3, 7, 5.0),
(4, 6, 1.0),
(5, 6, 1.0),
(5, 7, 2.0),)


sum
(1, 2, 9.0),
(1, 3, 13.0),
(1, 4, 24.0),
(1, 5, 17.0),
(1, 6, 12.0),
(1, 7, 6.0),
(2, 4, 5.0),
(2, 5, 5.0),
(2, 6, 7.0),
(2, 7, 9.0),
(3, 4, 7.0),
(3, 5, 9.0),
(3, 6, 11.0),
(3, 7, 10.0),
(4, 5, 2.0),
(4, 6, 1.0),
(5, 6, 1.0),
(5, 7, 3.0),)
