申し訳ございません。まだ決まっていません。今、グループで話しているのですが、11月だと学園祭の準備等々で集まれる日は限られるのではという指摘があったので、皆の10月の最終週の予定を聞いて決めたいと思います。,1475936307.000006,2016-10-08 23:18:27.000006
曜日については調査したところ、火曜日が8人(上村君以外)OKで一番多いので、火曜が有力ではあります。,1475936409.000007,2016-10-08 23:20:09.000007
<@U0JACJLRJ>  高野先生、情報検索システムのレポート課題の内容がKbookにアップされていません。,1477558192.000019,2016-10-27 17:49:52.000019
<@U0JACJLRJ> 第5回のところには、授業のスライドしかありません。,1477559511.000021,2016-10-27 18:11:51.000021
明日だよー,1477909291.000025,2016-10-31 19:21:31.000025
私も予定が入っており、どちらも参加できません。,1478494674.000181,2016-11-07 13:57:54.000181
<@U0JACJLRJ>  授業が休講になるのは、来週火曜（11/15）でしたっけ?,1478823857.000232,2016-11-11 09:24:17.000232
ありがとうございます。,1478825176.000234,2016-11-11 09:46:16.000234
興味があること: 鉄道と･･･,1481077531.000016,2016-12-07 11:25:31.000016
2/7の卒業研究のスケジュールって決まりましたか?,1485254460.000043,2017-01-24 19:41:00.000043
わかりました。皆さんがんばってください！,1485257219.000046,2017-01-24 20:26:59.000046
<@U0JACJLRJ>  メールで送信したのですが、大丈夫ですか?,1485839911.000012,2017-01-31 14:18:31.000012
<@U0JACJLRJ> 履歴書の紙、山田さんから貰いました(10時過ぎに研究室に行きましたが誰もいなかったため)。,1486009887.000002,2017-02-02 13:31:27.000002
<@U0JACJLRJ> 履歴書の練習用紙の「論文」の部分は何か書いた方がいいですか?,1486043206.000003,2017-02-02 22:46:46.000003
引継ぎは、なるべく全員集まれた方がいいんですか?,1487513184.000007,2017-02-19 23:06:24.000007
<@U0JT2EZDH> 個人的な意見で申し訳ないのですが、私自身としては7日か8日にやってくれると助かります。,1488172335.578372,2017-02-27 14:12:15.578372
<@U0JT2EZDH> 8日に説明会入りました。,1488301370.569215,2017-03-01 02:02:50.569215
<@U10J4NGHH|shohei516> has joined the channel,1489027015.631012,2017-03-09 11:36:55.631012
<@U0JACJLRJ>  21日は今のところ大丈夫です。23日は面接が入っているので行けません。,1489748456.716773,2017-03-17 20:00:56.716773
<@U0J8PMAQJ> 引継ぎのときに自分もアカウント作成しました。,1490148559.73134,2017-03-22 11:09:19.731340
<@U0JACJLRJ> 5日に集まる時間帯って午前の懇親会のところですか?,1490920563.204805,2017-03-31 09:36:03.204805
5日は、ガイダンスの日程の午前中にある｢研究室懇親会｣の時間で集まる予定ですか?,1490944358.345646,2017-03-31 16:12:38.345646
了解しました。ありがとうございます。,1490957124.462007,2017-03-31 19:45:24.462007
おそらく、｢卒業研究未着手者懇談会｣と間違えました。,1491122762.301849,2017-04-02 17:46:02.301849
2017/4/8 報告(自宅),1491656676.41744,2017-04-08 22:04:36.417440
スライドの作成を行いました。,1491656713.41939,2017-04-08 22:05:13.419390
火曜に選考があるため月曜までには完成させる予定です。,1491656782.423097,2017-04-08 22:06:22.423097
おはようございます。,1491778357.668848,2017-04-10 07:52:37.668848
現在、小田急線が人身事故の影響で 相模大野~相武台前の間で運転見合わせになってます。,1491778405.67078,2017-04-10 07:53:25.670780
また、それ以外のところでもダイヤが乱れているとの事です。,1491778431.671808,2017-04-10 07:53:51.671808
2017/4/10 報告(学内),1491802449.154768,2017-04-10 14:34:09.154768
明後日のセミナーのためのスライドの作成(完成に近い),1491802497.159077,2017-04-10 14:34:57.159077
PHPの練習,1491802503.159689,2017-04-10 14:35:03.159689
:grinning:,1491969337.171284,2017-04-12 12:55:37.171284
4/12 報告,1491983261.444426,2017-04-12 16:47:41.444426
スライドの発表,1491983266.445404,2017-04-12 16:47:46.445404
そのスライドの質疑,1491992961.570027,2017-04-12 19:29:21.570027
引き続きPHPの勉強,1491992988.574977,2017-04-12 19:29:48.574977
4/13 報告,1492066880.704094,2017-04-13 16:01:20.704094
PHPの勉強,1492066893.706128,2017-04-13 16:01:33.706128
清水さんのプログラムの動作確認,1492066919.709959,2017-04-13 16:01:59.709959
2017/4/14 報告,1492155847.801104,2017-04-14 16:44:07.801104
関連研究の調査(1件探した。今後も継続),1492155901.8105,2017-04-14 16:45:01.810500
PHPの勉強(配列の編集についてをメインに行った),1492155930.816065,2017-04-14 16:45:30.816065
4/19 作業報告,1492593220.017798,2017-04-19 18:13:40.017798
PHPの勉強,1492593229.019854,2017-04-19 18:13:49.019854
卒研の概要についての発表及び質疑応答,1492593253.02533,2017-04-19 18:14:13.025330
来週中に今日言われた質問等を答えたうえでスライドを作成,1492593289.033665,2017-04-19 18:14:49.033665
4/24 作業報告,1493016739.530424,2017-04-24 15:52:19.530424
PHPの勉強(関数について),1493016758.533013,2017-04-24 15:52:38.533013
あさってのゼミで発表するスライドの作成,1493016776.535614,2017-04-24 15:52:56.535614
作業報告 追記: 高橋さんの卒研のシステムの構築,1493017001.569023,2017-04-24 15:56:41.569023
作業報告 追記2: Google map等を用いてカロリーの計算が出来るかなど、高野先生からアドバイスをもらった,1493017936.721883,2017-04-24 16:12:16.721883
4/25 作業報告,1493102846.971334,2017-04-25 15:47:26.971334
PHPの勉強(ユーザ定義関数),1493102860.973151,2017-04-25 15:47:40.973151
昨日、鷹野先生からのアドバイスについての調査,1493102884.976394,2017-04-25 15:48:04.976394
↑ 調べたところキョリ測というアプリを見つけた(カロリーもあわせて表示される),1493102954.985895,2017-04-25 15:49:14.985895
<https://www.mapion.co.jp/route/>,1493102971.988493,2017-04-25 15:49:31.988493
明日のゼミ用のスライドの作成,1493102990.991191,2017-04-25 15:49:50.991191
OneDriveに今日のゼミ用のスライドを入れるフォルダを作りました,1493172397.970333,2017-04-26 11:06:37.970333
フォルダ名 2017.04.26,1493172413.972518,2017-04-26 11:06:53.972518
4/26 作業報告,1493200067.905153,2017-04-26 18:47:47.905153
ゼミにてスライドの発表,1493200089.909977,2017-04-26 18:48:09.909977
今日言われた事の確認(DBに格納, ナンバリングの使用の傾向の調査など),1493200164.927553,2017-04-26 18:49:24.927553
4/27 作業報告,1493286113.845708,2017-04-27 18:41:53.845708
Google map APIプログラムを用いて経度･緯度を表示させる,1493286167.858426,2017-04-27 18:42:47.858426
及び吹き出しを表示されるプログラムを,1493286187.863206,2017-04-27 18:43:07.863206
行った。,1493286191.863923,2017-04-27 18:43:11.863923
DBに入れた駅情報をPHPと連携してブラウザ上に表示させた。,1493286222.871308,2017-04-27 18:43:42.871308
4/28 作業報告,1493348909.897107,2017-04-28 12:08:29.897107
PHPの学習(DBとの連携について),1493348928.898993,2017-04-28 12:08:48.898993
再来週のゼミのスライドの作成,1493348942.900522,2017-04-28 12:09:02.900522
昨日格納したDBにカラムを増やすためにデータの収集を行った,1493348971.903475,2017-04-28 12:09:31.903475
5/1 報告,1493620434.899868,2017-05-01 15:33:54.899868
ブラウザ上に駅のデータを表示させるカラムを追加させるためのデータ収集及び表示されるように修正(表示できた),1493620515.90533,2017-05-01 15:35:15.905330
Google map APIについての学習(クリック処理など),1493620532.906521,2017-05-01 15:35:32.906521
関連研究の調査,1493620542.907131,2017-05-01 15:35:42.907131
