0," umetani/.txt	-- ::. ",1
,,
1,データ連結による,1
,,
2,運行情報と歩行,1
,,
3,情報の統合,1
,,
4,経路編集を用いた乗換案内における経路探索方式,1
,,
5,システム側で持ち合わせていない外的評価をシステム側に伝える経路編集式乗換案内の実現に,1
,,
6,向けて，提示する経路へ反映可能な入力インターフェースを提案する．,1
,,
7,鉄道による移動所要時間をわかりやすく可視化するウェアアプリケーションの作成．,1
,,
8,ネットワークを用いた鉄道駅周辺の徒歩移動距離および迂回率の分析,1
,,
9,（,nan
,,
10,上で歩道ネットワークを作成し，駅から周辺施設までの徒歩移動距離と迂回率を算出する．,1
,,
11,幹線鉄道の乗換駅における乗換環境の評価に関する研究（,1
,,
12,.,nan
,,
13,健康管理アプリケーション,1
,,
14,.,nan
,,
15,走行や階段歩行などの数値を,1
,,
16,Android,1
,,
17,端末に搭載されている加速度センサとジャイロセンサを,1
,,
18,使用し，データを集計してカロリー計算する,1
,,
19,．,nan
,,
20,.,nan
,,
21,電車の運行情報以外の移動手法を推薦する．,1
,,
22,.,nan
,,
23,運行情報と推定歩行情報の統合をする．,1
,,
24,位置情報，運行情報，地理情報のデータにまとまりがな,1
,,
25,い,1
,,
26,．,nan
,,
27,個人のプロファイルの反映ができていない．,1
,,
28,位置情報，運行情報，地理情報のデータを空間的に,1
,,
29,連結することにより個人プロファイルの歩行条件と,1
,,
30,照らし合わせて運行情報と歩行情報を統合させる,1
,,
31,．,nan
,,
32,駅・路線情報を取得して情報統合をすることで鉄道経路と,1
,,
33,歩行経路の検索を行う．,1
,,
34,乗り換え先の駅との距離がユーザの指定した範囲内に入っ,1
,,
35,ているのなら歩行を推薦する．,1
,,
36,ユーザ,1
,,
37,C,1
,,
38,:,nan
,,
39,着,1
,,
40,:,nan
,,
41,発,1
,,
42,ユーザの条件：,1
,,
43,km,1
,,
44,以内,1
,,
45,なら歩く,1
,,
46,乗換,1
,,
47,C,1
,,
48,時間,1
,,
49,C,1
,,
50,目的地が最終駅より手前にあった場合，通過地点から目的,1
,,
51,地までの歩行経路を推薦する．,1
,,
52,開始地点,1
,,
53,最終,1
,,
54,通過,1
,,
55,地点,1
,,
56,目的地,1
,,
57,-,nan
,,
58,-,nan
,,
59,実装,1
,,
60,出発地点と終了地点の駅名を入力すると検索結果が,1
,,
61,URL,1
,,
62,で回答,1
,,
63,される．,1
,,
64,Python,1
,,
65,を使用してこの,1
,,
66,URL,1
,,
67,から駅情報，時刻情報を取,1
,,
68,得する．,1
,,
69,実験内容,1
,,
70,実験用として駅情報をソースコード内に入力して検索を行う．,1
,,
71,現在地から設定した範囲内にある駅との距離を計算．その中で,1
,,
72,最も目的地に近い駅までの歩行経路を利用者に推薦する．,1
,,
73,実験用として駅情報をデータベースに格納して歩行経路の検索,1
,,
74,を行えるかの実験を行う．,1
,,
75,.,nan
,,
76,現在地から設定した範囲内にある駅との距離を計算．その中で,1
,,
77,最も目的地に近い駅までの歩行経路を利用者に推薦する．,1
